scientific_name,longitude,latitude
Paspalum guenoarum,-38.31667,-6.83333
Paspalum guenoarum,-49.25944,-22.79111
Paspalum guenoarum,-52.07583,-25.93083
Paspalum guenoarum,-47.13,-22.25
Paspalum guenoarum,-47.97,-23.58
Paspalum guenoarum,-49.91361,-25.235
Paspalum guenoarum,-47.16472,-22.2425
Paspalum guenoarum,-49.33,-24.13
Paspalum guenoarum,-41.06167,-11.05
Paspalum guenoarum,-47.55361,-15.43528
Paspalum guenoarum,-48,-17
Paspalum guenoarum,-48.65,-16.6
Paspalum guenoarum,-49.20528,-24.26833
Paspalum guenoarum,-41.36667,-13
Paspalum guenoarum,-47.84167,-21.96194
Paspalum guenoarum,-61.9379,-16.4708
Paspalum guenoarum,-51.90806,-26.36917
Paspalum guenoarum,-49.24215,-22.81042
Paspalum guenoarum,-47.11667,-22.18333
Paspalum guenoarum,-47.13333,-22.25
Paspalum guenoarum,-58.3566,-18.4199
Paspalum guenoarum,-47.17736,-22.24882
Paspalum guenoarum,-56.71667,-20.03333
Paspalum guenoarum,-49.8071,-25.5527
Paspalum guenoarum,-54.41972,-21.56778
Paspalum guenoarum,-54.84222,-20.755
Paspalum guenoarum,-41.77805,-12.21875
Paspalum guenoarum,-47.4658,-14.104
Paspalum guenoarum,-55.3608,-27.17127
Paspalum guenoarum,-62.13,-16.03
Paspalum guenoarum,-50.61761,-27.28734
Paspalum guenoarum,-44.13,-17.57
Paspalum guenoarum,-56.1,-28.4
Paspalum guenoarum,-47.142,-22.242
Paspalum guenoarum,-49.23694,-22.79167
Paspalum guenoarum,-55.13333,-30.78333
Paspalum guenoarum,-51.05442,-28.39204
Paspalum guenoarum,-62,-16.41666
Paspalum guenoarum,-47.00082,-15.0003
Paspalum guenoarum,-62.13333,-16.03333
Paspalum guenoarum,-56.05,-22.65
Paspalum guenoarum,-55.61666,-27.5
Paspalum guenoarum,-62.08333,-16.13333
Paspalum guenoarum,-55.51666,-27.35
Paspalum guenoarum,-54.16666,-26.76666
Paspalum guenoarum,-55.58333,-27.28333
Paspalum guenoarum,-56,-28.45
Paspalum guenoarum,-55.66666,-27.8
Paspalum guenoarum,-55.11666,-26.96666
Paspalum guenoarum,-55.83333,-27.53333
Paspalum guenoarum,-57,-25.5
Paspalum guenoarum,-55.51666,-27.3
Paspalum guenoarum,-56.1,-28.18333
Paspalum guenoarum,-62,-16.33333
Paspalum guenoarum,-62,-16
Paspalum guenoarum,-47.96667,-23.58333
Paspalum guenoarum,-47.11944,-22.18833
Paspalum guenoarum,-58.60167,-18.71083
Paspalum guenoarum,-51.68694,-30.09694
Paspalum guenoarum,-47.7225,-14.11417
Paspalum guenoarum,-46.95111,-14.89722
Paspalum guenoarum,-47.97278,-15.73944
Paspalum guenoarum,-50.73917,-29.32083
Paspalum guenoarum,-49.98583,-25.25833
Paspalum guenoarum,-50.15722,-24.76583
Paspalum guenoarum,-51.065,-28.67889
Paspalum guenoarum,-51.53639,-26.65806
Paspalum guenoarum,-52.27667,-28.10194
Paspalum guenoarum,-49.98917,-28.20194
Paspalum guenoarum,-56.38333,-19.48333
Paspalum guenoarum,-56.94278,-23.02417
Paspalum guenoarum,-37.63333,-10.91667
Paspalum guenoarum,-41.06167,-11.58333
Paspalum guenoarum,-56.7333,-27.5667
Paspalum guenoarum,-47.92667,-15.73139
Paspalum guenoarum,-41.72722,-4.08417
Paspalum guenoarum,-49.33333,-24.13333
Paspalum guenoarum,-49.2375,-22.81667
Paspalum guenoarum,-51.40722,-20.36111
Paspalum guenoarum,-52.26556,-20.62417
Paspalum guenoarum,-47.71583,-15.89833
Paspalum guenoarum,-51.5717,-28.6306
Paspalum guenoarum,-47.85722,-16.01111
Paspalum guenoarum,-47.1525,-22.28944
Paspalum guenoarum,-47.5,-15.5
Paspalum guenoarum,-52.90417,-27.97889
Paspalum guenoarum,-39.25,-12.9
Paspalum guenoarum,-53.58139,-31.73306
Paspalum guenoarum,-54.67,-22
Paspalum guenoarum,-50.33,-18
Paspalum guenoarum,-62,-16.33
Paspalum guenoarum,-56.14972,-22.67611
Paspalum guenoarum,-49.35444,-24.45361
Paspalum guenoarum,-47.82,-22.25
Paspalum guenoarum,-62,-16.17
Paspalum guenoarum,-50.75,-28.13
Paspalum guenoarum,-46.34167,-8.54167
Paspalum guenoarum,-56.04833,-28.12556
Paspalum guenoarum,-53.75833,-23.375
Paspalum guenoarum,-56.40167,-27.61361
Paspalum guenoarum,-58.04389,-27.32111
Paspalum guenoarum,-57.72194,-27.75861
Paspalum guenoarum,-58.98611,-28.44944
Paspalum guenoarum,-55.72944,-28.17083
Paspalum guenoarum,-58.46028,-28.33389
Paspalum guenoarum,-63.23,-17.77778
Paspalum guenoarum,-63.29139,-20.68444
Paspalum guenoarum,-54.34889,-27.99861
Paspalum guenoarum,-54.44444,-28.39667
Paspalum guenoarum,-52.47528,-28.31444
Paspalum guenoarum,-59.3925,-20.23194
Paspalum guenoarum,-56.20722,-25.4775
Paspalum guenoarum,-55.3175,-24.97222
Paspalum guenoarum,-55.68917,-31.53111
Paspalum guenoarum,-53.99833,-25.91222
Paspalum guenoarum,-54.9175,-26.87806
Paspalum guenoarum,-57.93889,-31.02833
Paspalum guenoarum,-51.87417,-26.92944
Paspalum guenoarum,-55.64333,-28.18222
Paspalum guenoarum,-50.3,-28.33333
Paspalum guenoarum,-38.32,-6.83
Paspalum guenoarum,-59.26555556,-28.17722222
Paspalum guenoarum,-54.35527778,-32.35138889
Paspalum guenoarum,-58.36888890,-33.33638890
